date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:51:37	638/638	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/assets/img/fr.png	D:/cs/cork/designreset.com/cork/ltr/demo4/assets/img/fr.png	(from https://designreset.com/cork/ltr/demo4/)
12:51:37	2022/2022	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/assets/img/profile-11.jpeg	D:/cs/cork/designreset.com/cork/ltr/demo4/assets/img/profile-11.jpg	(from https://designreset.com/cork/ltr/demo4/)
12:51:38	1920/1920	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/assets/img/profile-16.jpeg	D:/cs/cork/designreset.com/cork/ltr/demo4/assets/img/profile-16.jpg	(from https://designreset.com/cork/ltr/demo4/)
12:51:38	6816/6816	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/assets/img/profile-34.jpeg	D:/cs/cork/designreset.com/cork/ltr/demo4/assets/img/profile-34.jpg	(from https://designreset.com/cork/ltr/demo4/)
12:51:39	67933/67933	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/user_profile.html	D:/cs/cork/designreset.com/cork/ltr/demo4/user_profile.html	(from https://designreset.com/cork/ltr/demo4/)
12:51:39	262485/262485	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/apps_mailbox.html	D:/cs/cork/designreset.com/cork/ltr/demo4/apps_mailbox.html	(from https://designreset.com/cork/ltr/demo4/)
12:51:40	4179/4179	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/auth_lockscreen.html	D:/cs/cork/designreset.com/cork/ltr/demo4/auth_lockscreen.html	(from https://designreset.com/cork/ltr/demo4/)
12:51:40	5526/5526	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/auth_login.html	D:/cs/cork/designreset.com/cork/ltr/demo4/auth_login.html	(from https://designreset.com/cork/ltr/demo4/)
12:51:41	82421/82421	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/index2.html	D:/cs/cork/designreset.com/cork/ltr/demo4/index2.html	(from https://designreset.com/cork/ltr/demo4/)
12:51:41	86880/86880	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/apps_chat.html	D:/cs/cork/designreset.com/cork/ltr/demo4/apps_chat.html	(from https://designreset.com/cork/ltr/demo4/)
12:51:41	152121/152121	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jul%202020%2016:02:45%20GMT	https://designreset.com/cork/ltr/demo4/apps_todoList.html	D:/cs/cork/designreset.com/cork/ltr/demo4/apps_todoList.html	(from https://designreset.com/cork/ltr/demo4/)
